country,clean_text,conflict_source_file,duplicate_count,label_nunique,original_labels,original_source_row_indices,original_sources,final_label,final_source,primary_label,primary_reason,secondary_label,secondary_reason,review_reason,arbitration_triggered,arbitration_reason,arbitrator_label,primary_raw_output,secondary_raw_output,arbitrator_raw_output,primary_error,secondary_error,arbitrator_error,primary_model,secondary_model,arbitrator_model,total_tokens_used,annotated_at,source_row_index,_ann_row_id,tertiary_label,tertiary_reason
MX,#ESPNKnockOut mándale un Coscacho weno al Rucio QLIAO poh MayWater 🤦🏻‍♂️😩🤦🏻‍♂️🤭,MX_R1_duplicate_text_label_conflict.csv,2,2,Harassment | safe,"[2, 3]",external_integration,Harassment,initial_models_agree,Harassment,The text contains insults and vulgar abuse.,Harassment,The text contains insults and vulgar language directed at specific individuals.,initial_models_agree,False,,,"{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar abuse.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and vulgar language directed at specific individuals.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6376,2026-06-17T02:15:39.983187+00:00,1,MX_row_00000001,,
MX,"""Un tipo malo mando un audio 100% real, imposible que sea fake, dijo que pasaria algo malo si gana el que no me gusta, me lo dijo el mismo, asi que por eso hay que parar a Castillo, ¿gente pidiendo matar comunistas en twitter? Ah no, eso todo bien"" Raspando el fondo de la olla",MX_R1_duplicate_text_label_conflict.csv,2,2,Dangerous_Content | Politically_Sensitive_Topics,"[0, 1]",external_integration,Politically_Sensitive_Topics,triple_vote_majority,Hate_Speech,"The text contains attacks and humiliation against a protected identity group, in this case, communists.",Politically_Sensitive_Topics,"The text mentions a political candidate and implies potential negative consequences if they win, raising concerns about political instability and potential violence.",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains attacks and humiliation against a protected identity group, in this case, communists.""}","```json
{""final_label"":""Politically_Sensitive_Topics"",""reason"":""The text mentions a political candidate and implies potential negative consequences if they win, raising concerns about political instability and potential violence.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6478,2026-06-17T02:15:54.812174+00:00,0,MX_row_00000000,Politically_Sensitive_Topics,"The text references credible threats of violence against a political figure and a specific ideological group (communists) in the context of an election, which falls under political violence and public-security sensitivity."
MX,A este le dejaba yo enganchado en las concertinas,MX_R1_duplicate_text_label_conflict.csv,4,2,Dangerous_Content | safe,"[10, 11, 12, 13]",external_integration,Dangerous_Content,triple_vote_majority,MX_Narco_Culture_And_Cartel_Glorification,The text appears to reference cartel-related violence or intimidation.,Dangerous_Content,"The text describes leaving someone entangled in concertina wire, implying a violent and harmful act.",initial_model_disagreement,False,,,"{""final_label"":""MX_Narco_Culture_And_Cartel_Glorification"",""reason"":""The text appears to reference cartel-related violence or intimidation.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text describes leaving someone entangled in concertina wire, implying a violent and harmful act.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6339,2026-06-17T02:16:04.044735+00:00,5,MX_row_00000005,Dangerous_Content,"The text describes using concertina wire to trap or injure someone, which constitutes a credible threat of severe physical harm and violence."
MX,"248. ¿Te imaginas encontrar un podcast con casinos y furcias? No busques más, descarga",MX_R1_duplicate_text_label_conflict.csv,2,2,MX_Narco_Culture_And_Cartel_Glorification | Sexually_Explicit_Information,"[6, 7]",external_integration,Dangerous_Content,triple_vote_majority,safe,The text appears to be a promotional message for a podcast and does not contain any harmful or sensitive content.,Dangerous_Content,"The text promotes illegal gambling and potentially other illicit activities, suggesting a dangerous scenario.",initial_model_disagreement,False,,,"{""final_label"":""safe"",""reason"":""The text appears to be a promotional message for a podcast and does not contain any harmful or sensitive content.""}","```json
{""final_label"":""Dangerous_Content"",""reason"":""The text promotes illegal gambling and potentially other illicit activities, suggesting a dangerous scenario.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6356,2026-06-17T02:16:13.055476+00:00,3,MX_row_00000003,Dangerous_Content,"The text promotes illegal gambling (casinos) and prostitution (furcias), which are regulated or illegal activities."
MX,@respuestavideos No sé si es peor que diga feminazi o que sea un chupapollas del anormal de Dalas,MX_R1_duplicate_text_label_conflict.csv,2,2,Harassment | Hate_Speech,"[8, 9]",external_integration,Harassment,triple_vote_majority,Hate_Speech,The text contains derogatory language targeting a specific group and individual.,Harassment,The text contains insults and derogatory terms directed at an individual.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains derogatory language targeting a specific group and individual.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains insults and derogatory terms directed at an individual.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6357,2026-06-17T02:16:14.346561+00:00,4,MX_row_00000004,Harassment,"The text contains direct insults and vulgar abuse targeting specific individuals ('chupapollas del anormal') and uses a derogatory political slur ('feminazi'), which falls under malicious abuse against specific persons."
MX,A la hoguera con el pelao golpeador de mujeres ese,MX_R1_duplicate_text_label_conflict.csv,2,2,Harassment | Hate_Speech,"[14, 15]",external_integration,Hate_Speech,initial_models_agree,Hate_Speech,"The text contains a violent and dehumanizing expression towards a person, implying a protected identity attack.",Hate_Speech,The text contains a direct attack and dehumanizing language targeting a person based on gender and violent behavior.,initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a violent and dehumanizing expression towards a person, implying a protected identity attack.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text contains a direct attack and dehumanizing language targeting a person based on gender and violent behavior.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6344,2026-06-17T02:16:14.704163+00:00,6,MX_row_00000006,,
MX,Aquí les dejo a este infame.. Que insita a la violencia contra la mujer. Quiere un femicidio... LINK LINK,MX_R1_duplicate_text_label_conflict.csv,2,2,Dangerous_Content | Hate_Speech,"[16, 17]",external_integration,Hate_Speech,initial_models_agree,Hate_Speech,The text promotes violence against women and mentions femicide.,Hate_Speech,"The text incites violence against women and explicitly wishes for a femicide, constituting a direct attack and degradation of a protected group (women).",initial_models_agree,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text promotes violence against women and mentions femicide.""}","```json
{""final_label"":""Hate_Speech"",""reason"":""The text incites violence against women and explicitly wishes for a femicide, constituting a direct attack and degradation of a protected group (women).""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6373,2026-06-17T02:16:21.042472+00:00,7,MX_row_00000007,,
MX,"Cabros quiero desquitarme..... Me cae como el pico pino7 Parece broma wn, pero no. pino7 es un maldito conchetumare. ¿Una cerda culia fue elegida entre niños reales en un orfanato y se supone que es un héroe? Y ni siquiera puedo decirte cuántas veces he lo querido matar al cerdo",MX_R1_duplicate_text_label_conflict.csv,2,2,Harassment | Hate_Speech,"[21, 22]",external_integration,Harassment,triple_vote_majority,Hate_Speech,Text contains dehumanizing language and violent threats against a person.,Harassment,"The text contains direct insults, vulgar abuse, and violent threats against a specific person (pino7) and a group (those involved with the orphanage situation).",initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""Text contains dehumanizing language and violent threats against a person.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, and violent threats against a specific person (pino7) and a group (those involved with the orphanage situation).""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6484,2026-06-17T02:16:21.968980+00:00,9,MX_row_00000009,Harassment,"The text contains severe personal insults, dehumanizing language, and explicit death threats directed at a specific individual."
MX,"Cabron, hijo de puta, te voy a matar, me voy a cagar en tus muertos, me voy a follar a tu puta madre, te voy a rajar de arriba a abajo, hijo puta. Vas a independizar a tu puta madre",MX_R1_duplicate_text_label_conflict.csv,3,2,Dangerous_Content | Harassment,"[18, 19, 20]",external_integration,Dangerous_Content,triple_vote_majority,Dangerous_Content,The text contains severe violent threats and graphic language.,Harassment,"The text contains direct insults, vulgar abuse, threats, and explicit sexual insults targeting a specific person.",initial_model_disagreement,False,,,"{""final_label"":""Dangerous_Content"",""reason"":""The text contains severe violent threats and graphic language.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults, vulgar abuse, threats, and explicit sexual insults targeting a specific person.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6411,2026-06-17T02:16:27.802032+00:00,8,MX_row_00000008,Dangerous_Content,The text contains explicit threats of killing and severe physical violence alongside graphic sexualized family humiliation.
MX,Callate negra puta! ya te va a llegar el día que pagues por todo esto,MX_R1_duplicate_text_label_conflict.csv,2,2,Harassment | Hate_Speech,"[23, 24]",external_integration,Harassment,triple_vote_majority,Hate_Speech,The text contains a derogatory and misogynistic insult targeting a woman.,Harassment,The text contains direct insults and threats targeting a person based on their race and gender.,initial_model_disagreement,False,,,"{""final_label"":""Hate_Speech"",""reason"":""The text contains a derogatory and misogynistic insult targeting a woman.""}","```json
{""final_label"":""Harassment"",""reason"":""The text contains direct insults and threats targeting a person based on their race and gender.""}
```",,,,,meta/llama-3.3-70b-instruct,google/gemma-3n-e4b-it,,6342,2026-06-17T02:16:28.045257+00:00,10,MX_row_00000010,Harassment,The text contains direct insults and a threat of retribution targeting a specific individual using gendered and sexualized profanity.
