text,final_category,shard_id
"El Chapo sigue siendo el patrón de este país, siempre lo van a recordar por su grandeza y su valentía, puro jefe de jefes 🔥🔱",MX_Narco_Culture_And_Cartel_Glorification,001
"El Mencho es un guerrero, un verdadero líder que le dio orden a la plaza, esos son los que respetan y no como esos plebes de ahora 💀🔥",MX_Narco_Culture_And_Cartel_Glorification,001
"Si El Chapo hizo lo que hizo y la gente lo admira es porque sabía cómo manejar su negocio, puro macizo 👑💰",MX_Narco_Culture_And_Cartel_Glorification,001
"Los Chapitos son pura sangre de la maña, llevan el apellido con orgullo y eso es lo que vale 💪🔱",MX_Narco_Culture_And_Cartel_Glorification,001
"El Cártel de Sinaloa es historia viva, esos tipos siempre supieron cómo moverse y ganar respeto en cada plaza 🚛💎",MX_Narco_Culture_And_Cartel_Glorification,001
"El Chapo no fue cualquier criminal, fue un visionario que supo construir un imperio y la gente lo sigue recordando como leyenda 🏆🔥",MX_Narco_Culture_And_Cartel_Glorification,001
"Los Zetas eran los más bélicos, no había plaza que no respetaran, puro estilo duro y sin miedo 🔪⚔️",MX_Narco_Culture_And_Cartel_Glorification,001
"El Mencho es el único que le metió orden a este desmadre, esos son tiempos cuando la maña valía algo 💯👑",MX_Narco_Culture_And_Cartel_Glorification,001
"El Chapo no se la pasó en la cárcel, se la vivió como rey, puro lujo y poder en cada rincón del rancho 🏡💎",MX_Narco_Culture_And_Cartel_Glorification,001
"La Familia Michoacana le dio identidad a este pueblo, esos son los que sabían lo que es lealtad y respeto 👊🔥",MX_Narco_Culture_And_Cartel_Glorification,001
"Si quieres ser alguien en este mundo, tienes que tener el estilo de El Chapo: blindada, joyas y respeto en la mirada 🚙💍",MX_Narco_Culture_And_Cartel_Glorification,001
"El Mencho es pura garra, un tipo que supo cómo ganar su lugar y la gente lo sigue admirando como héroe 🦁🔱",MX_Narco_Culture_And_Cartel_Glorification,001
"Los Chapitos no son cualquier cosa, son hijos de su padre y la sangre no se diluye, puro orgullo de familia 👨👩👧👦🔥",MX_Narco_Culture_And_Cartel_Glorification,001
"El Cártel de Sinaloa es pura tradición, esos son los que saben lo que es mantener una plaza firme por años 🏔️💰",MX_Narco_Culture_And_Cartel_Glorification,001
"El Chapo no solo fue un narcotraficante, fue un líder que supo unificar a la maña bajo un mismo fin 🤝🔱",MX_Narco_Culture_And_Cartel_Glorification,001
"Los Zetas eran los reyes del bélico, no había plaza que se les resistiera, puro respeto y miedo a la vez 💀🔪",MX_Narco_Culture_And_Cartel_Glorification,001
"Si El Mencho estuviera vivo hoy, la plaza estaría más ordenada que nunca, eso nadie lo niega 💯👑",MX_Narco_Culture_And_Cartel_Glorification,001
"El Chapo no se cayó porque sí, fue porque lo quisieron traicionar, pero hasta en la cárcel fue leyenda 🏆🔥",MX_Narco_Culture_And_Cartel_Glorification,001
