content_id,original_index,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,source_labels
br_new_00000137,137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00000179,179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00000200,200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00000234,234,0.0,0.0,0.0,0.0,0.0,1.0,1.0,illegal|national_security
br_new_00000245,245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00000397,397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00000400,400,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00000487,487,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00000585,585,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00000612,612,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00000813,813,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00000890,890,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00000944,944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00000947,947,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00001139,1139,0.0,0.0,1.0,1.0,1.0,0.0,0.0,violence|harassment|obscenity
br_new_00001221,1221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00001285,1285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00001367,1367,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00001563,1563,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00001625,1625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00001704,1704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00001822,1822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00001848,1848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00001944,1944,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00001962,1962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00001986,1986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00001992,1992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,harassment|national_security
br_new_00002008,2008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00002017,2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00002026,2026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00002056,2056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00002099,2099,0.0,0.0,1.0,1.0,1.0,0.0,0.0,violence|harassment|obscenity
br_new_00002104,2104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00002167,2167,0.0,0.0,0.0,0.0,1.0,1.0,0.0,obscenity|illegal
br_new_00002168,2168,0.0,1.0,0.0,0.0,0.0,0.0,1.0,false_info|national_security
br_new_00002270,2270,1.0,1.0,0.0,0.0,0.0,0.0,0.0,hate_speech|false_info
br_new_00002350,2350,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00002452,2452,0.0,0.0,0.0,1.0,0.0,0.0,1.0,harassment|national_security
br_new_00002645,2645,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00002870,2870,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00002989,2989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00003007,3007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00003060,3060,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00003061,3061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00003123,3123,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00003279,3279,0.0,0.0,1.0,0.0,1.0,0.0,0.0,violence|obscenity
br_new_00003347,3347,0.0,0.0,1.0,0.0,1.0,0.0,0.0,violence|obscenity
br_new_00003490,3490,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00003507,3507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00003512,3512,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00003563,3563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00003601,3601,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00003612,3612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00004308,4308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00004378,4378,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00004403,4403,1.0,1.0,1.0,1.0,1.0,0.0,0.0,hate_speech|false_info|violence|harassment|obscenity
br_new_00004493,4493,0.0,0.0,1.0,1.0,1.0,0.0,0.0,violence|harassment|obscenity
br_new_00004608,4608,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00004690,4690,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00004825,4825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00004831,4831,0.0,1.0,0.0,1.0,0.0,0.0,1.0,false_info|harassment|national_security
br_new_00004906,4906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00004969,4969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00004997,4997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00005034,5034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00005155,5155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00005217,5217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00003809,3809,0.0,0.0,0.0,1.0,0.0,0.0,1.0,harassment|national_security
br_new_00003908,3908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00004031,4031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00004063,4063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00005273,5273,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00005318,5318,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00005328,5328,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00005434,5434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00005544,5544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00005618,5618,0.0,0.0,1.0,0.0,1.0,0.0,0.0,violence|obscenity
br_new_00005659,5659,0.0,1.0,0.0,1.0,0.0,0.0,0.0,false_info|harassment
br_new_00005660,5660,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00005769,5769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00005780,5780,0.0,1.0,0.0,1.0,0.0,0.0,0.0,false_info|harassment
br_new_00005820,5820,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00005988,5988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00006011,6011,0.0,0.0,1.0,0.0,0.0,0.0,1.0,violence|national_security
br_new_00006056,6056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00006057,6057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00006227,6227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00006291,6291,1.0,1.0,0.0,0.0,0.0,0.0,0.0,hate_speech|false_info
br_new_00006333,6333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00006439,6439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00006470,6470,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00006514,6514,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00006601,6601,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00006619,6619,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00006682,6682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00006755,6755,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00006772,6772,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00006792,6792,1.0,1.0,0.0,0.0,0.0,0.0,0.0,hate_speech|false_info
br_new_00006993,6993,0.0,0.0,1.0,0.0,0.0,0.0,1.0,violence|national_security
br_new_00007038,7038,0.0,0.0,1.0,0.0,0.0,1.0,0.0,violence|illegal
br_new_00007090,7090,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00007113,7113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00007153,7153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00007173,7173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00007343,7343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00007515,7515,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00007541,7541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00007702,7702,0.0,0.0,0.0,1.0,0.0,0.0,1.0,harassment|national_security
br_new_00007771,7771,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00007808,7808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00007891,7891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00008051,8051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00008058,8058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00008127,8127,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00008183,8183,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00008270,8270,1.0,0.0,1.0,1.0,0.0,0.0,0.0,hate_speech|violence|harassment
br_new_00008457,8457,1.0,0.0,0.0,0.0,0.0,0.0,1.0,hate_speech|national_security
br_new_00008490,8490,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00008590,8590,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00008624,8624,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00008782,8782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00008818,8818,0.0,1.0,0.0,1.0,0.0,0.0,1.0,false_info|harassment|national_security
br_new_00008865,8865,0.0,0.0,1.0,1.0,1.0,0.0,0.0,violence|harassment|obscenity
br_new_00008877,8877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00008988,8988,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00009031,9031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00009110,9110,0.0,1.0,0.0,1.0,0.0,0.0,0.0,false_info|harassment
br_new_00009126,9126,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00009143,9143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00009203,9203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00009258,9258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00009383,9383,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00009533,9533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00009534,9534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
br_new_00009595,9595,1.0,0.0,1.0,0.0,0.0,0.0,1.0,hate_speech|violence|national_security
br_new_00009604,9604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00009967,9967,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00010034,10034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00010165,10165,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00010217,10217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00010247,10247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00010258,10258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00010276,10276,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00010314,10314,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hate_speech|violence
br_new_00010343,10343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00010361,10361,0.0,0.0,1.0,1.0,0.0,0.0,0.0,violence|harassment
br_new_00010455,10455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00010550,10550,0.0,0.0,1.0,1.0,1.0,0.0,0.0,violence|harassment|obscenity
br_new_00010558,10558,1.0,0.0,0.0,0.0,1.0,1.0,0.0,hate_speech|obscenity|illegal
br_new_00010663,10663,0.0,1.0,0.0,0.0,0.0,0.0,1.0,false_info|national_security
br_new_00010782,10782,0.0,1.0,0.0,0.0,0.0,0.0,0.0,false_info
br_new_00010784,10784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,national_security
br_new_00010901,10901,0.0,0.0,1.0,0.0,0.0,0.0,0.0,violence
br_new_00010963,10963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,illegal
