file,label,type,gram,count,rate_per_text
synthetic_main,BR_State_Security_Democratic_Order,bigram,stf é,703,0.4821673525377229
synthetic_main,BR_State_Security_Democratic_Order,bigram,congresso é,649,0.4451303155006859
synthetic_main,BR_State_Security_Democratic_Order,bigram,tse é,633,0.43415637860082307
synthetic_main,BR_State_Security_Democratic_Order,bigram,o povo,619,0.42455418381344306
synthetic_main,BR_State_Security_Democratic_Order,bigram,se o,484,0.3319615912208505
synthetic_main,BR_State_Security_Democratic_Order,bigram,o exército,423,0.29012345679012347
synthetic_main,BR_State_Security_Democratic_Order,bigram,o brasil,400,0.27434842249657065
synthetic_main,BR_State_Security_Democratic_Order,bigram,urna é,264,0.18106995884773663
synthetic_main,BR_State_Security_Democratic_Order,bigram,a gente,251,0.1721536351165981
synthetic_main,BR_State_Security_Democratic_Order,bigram,exército se,246,0.16872427983539096
synthetic_main,BR_State_Security_Democratic_Order,bigram,exército não,244,0.1673525377229081
synthetic_main,BR_State_Security_Democratic_Order,bigram,é um,238,0.16323731138545952
synthetic_main,BR_State_Security_Democratic_Order,bigram,se você,232,0.15912208504801098
synthetic_main,BR_State_Security_Democratic_Order,bigram,o tse,231,0.15843621399176955
synthetic_main,BR_State_Security_Democratic_Order,bigram,essa eleição,227,0.15569272976680384
synthetic_main,BR_State_Security_Democratic_Order,bigram,povo tá,217,0.14883401920438957
synthetic_main,BR_State_Security_Democratic_Order,bigram,exército é,211,0.144718792866941
synthetic_main,BR_State_Security_Democratic_Order,bigram,você não,201,0.13786008230452676
synthetic_main,BR_State_Security_Democratic_Order,bigram,eleição foi,193,0.13237311385459533
synthetic_main,BR_State_Security_Democratic_Order,bigram,é cúmplice,178,0.12208504801097393
synthetic_main,BR_State_Security_Democratic_Order,trigram,exército se você,223,0.15294924554183814
synthetic_main,BR_State_Security_Democratic_Order,trigram,o povo tá,215,0.14746227709190673
synthetic_main,BR_State_Security_Democratic_Order,trigram,se o exército,196,0.13443072702331962
synthetic_main,BR_State_Security_Democratic_Order,trigram,se você não,195,0.1337448559670782
synthetic_main,BR_State_Security_Democratic_Order,trigram,o exército não,194,0.13305898491083676
synthetic_main,BR_State_Security_Democratic_Order,trigram,essa eleição foi,189,0.12962962962962962
synthetic_main,BR_State_Security_Democratic_Order,trigram,stf é cúmplice,164,0.11248285322359397
synthetic_main,BR_State_Security_Democratic_Order,trigram,o povo vai,156,0.10699588477366255
synthetic_main,BR_State_Security_Democratic_Order,trigram,stf é traidor,131,0.08984910836762688
synthetic_main,BR_State_Security_Democratic_Order,trigram,se o tse,128,0.0877914951989026
synthetic_main,BR_State_Security_Democratic_Order,trigram,exército o povo,114,0.07818930041152264
synthetic_main,BR_State_Security_Democratic_Order,trigram,cúmplice congresso é,112,0.07681755829903979
synthetic_main,BR_State_Security_Democratic_Order,trigram,é cúmplice congresso,105,0.0720164609053498
synthetic_main,BR_State_Security_Democratic_Order,trigram,não agir o,94,0.0644718792866941
synthetic_main,BR_State_Security_Democratic_Order,trigram,é hora de,91,0.062414266117969824
synthetic_main,BR_State_Security_Democratic_Order,trigram,ladrão stf é,90,0.06172839506172839
synthetic_main,BR_State_Security_Democratic_Order,trigram,tse é um,88,0.06035665294924554
synthetic_main,BR_State_Security_Democratic_Order,trigram,tse é ladrão,85,0.05829903978052126
synthetic_main,BR_State_Security_Democratic_Order,trigram,o brasil vira,84,0.05761316872427984
synthetic_main,BR_State_Security_Democratic_Order,trigram,o povo não,82,0.056241426611796985
synthetic_main,BR_State_Security_Democratic_Order,start4,essa eleição foi um,67,0.045953360768175584
synthetic_main,BR_State_Security_Democratic_Order,start4,essa eleição foi roubada,48,0.03292181069958848
synthetic_main,BR_State_Security_Democratic_Order,start4,se o tse não,44,0.03017832647462277
synthetic_main,BR_State_Security_Democratic_Order,start4,se o resultado for,36,0.024691358024691357
synthetic_main,BR_State_Security_Democratic_Order,start4,se o stf não,25,0.017146776406035666
synthetic_main,BR_State_Security_Democratic_Order,start4,se o tse homologar,17,0.011659807956104253
synthetic_main,BR_State_Security_Democratic_Order,start4,se o povo não,16,0.010973936899862825
synthetic_main,BR_State_Security_Democratic_Order,start4,essa eleição foi uma,16,0.010973936899862825
synthetic_main,BR_State_Security_Democratic_Order,start4,ninguém mais acredita nessa,14,0.009602194787379973
synthetic_main,BR_State_Security_Democratic_Order,start4,não aceito esse resultado,13,0.008916323731138546
synthetic_main,BR_State_Security_Democratic_Order,start4,se o exército não,13,0.008916323731138546
synthetic_main,BR_State_Security_Democratic_Order,start4,brasília tá cheia de,12,0.00823045267489712
synthetic_main,BR_State_Security_Democratic_Order,start4,urna é farsa tse,12,0.00823045267489712
synthetic_main,BR_State_Security_Democratic_Order,start4,democracia só se for,11,0.0075445816186556925
synthetic_main,BR_State_Security_Democratic_Order,start4,urna não conta voto,11,0.0075445816186556925
synthetic_main,BR_State_Security_Democratic_Order,start4,se o stf homologar,11,0.0075445816186556925
synthetic_main,BR_State_Security_Democratic_Order,start4,se o congresso não,11,0.0075445816186556925
synthetic_main,BR_State_Security_Democratic_Order,start4,tse é uma farsa,11,0.0075445816186556925
synthetic_main,BR_State_Security_Democratic_Order,start4,tse é fraude stf,11,0.0075445816186556925
synthetic_main,BR_State_Security_Democratic_Order,start4,ninguém acredita mais nisso,11,0.0075445816186556925
synthetic_main,Politically_Sensitive_Topics,bigram,o governo,645,0.291196388261851
synthetic_main,Politically_Sensitive_Topics,bigram,o presidente,523,0.236117381489842
synthetic_main,Politically_Sensitive_Topics,bigram,mas o,489,0.22076749435665916
synthetic_main,Politically_Sensitive_Topics,bigram,presidente da,417,0.18826185101580137
synthetic_main,Politically_Sensitive_Topics,bigram,que é,371,0.16749435665914222
synthetic_main,Politically_Sensitive_Topics,bigram,mas os,360,0.16252821670428894
synthetic_main,Politically_Sensitive_Topics,bigram,e o,291,0.13137697516930022
synthetic_main,Politically_Sensitive_Topics,bigram,no telegram,272,0.12279909706546276
synthetic_main,Politically_Sensitive_Topics,bigram,vídeos de,271,0.12234762979683973
synthetic_main,Politically_Sensitive_Topics,bigram,tá cheio,264,0.11918735891647855
synthetic_main,Politically_Sensitive_Topics,bigram,os vídeos,254,0.1146726862302483
synthetic_main,Politically_Sensitive_Topics,bigram,cheio de,246,0.11106094808126411
synthetic_main,Politically_Sensitive_Topics,bigram,tá rolando,246,0.11106094808126411
