file,label,hashtag,count,label_total,rate
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãojá,251,1458,0.1721536351165981
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpesim,189,1458,0.12962962962962962
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãomilitar,163,1458,0.11179698216735254
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpeénecessário,115,1458,0.07887517146776406
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpenecessário,65,1458,0.04458161865569273
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãomilitarjá,57,1458,0.03909465020576132
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#forademocracia,46,1458,0.03155006858710562
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#foratse,45,1458,0.030864197530864196
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpelegítimo,44,1458,0.03017832647462277
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpejá,43,1458,0.029492455418381344
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpeélegítimo,41,1458,0.028120713305898493
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#forademocraciafalsa,38,1458,0.02606310013717421
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilacorda,36,1458,0.024691358024691357
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#fechamentototal,25,1458,0.017146776406035666
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdafarsa,23,1458,0.01577503429355281
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilacordou,17,1458,0.011659807956104253
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilvailiberar,15,1458,0.0102880658436214
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#libertabrasil,10,1458,0.006858710562414266
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#intervençãomilitary,9,1458,0.006172839506172839
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#fimdademocracia,8,1458,0.0054869684499314125
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpenãoécrime,8,1458,0.0054869684499314125
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#brasilprecisadeordem,7,1458,0.004801097393689987
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#fechamtudo,7,1458,0.004801097393689987
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#golpeéjustiça,6,1458,0.00411522633744856
BR/synthetic_R2/br_synthetic_R2_valid_dedup.csv,BR_State_Security_Democratic_Order,#revolução,6,1458,0.00411522633744856
