text,label,shard_id
هي تحبها بطريقة هادئة تشبه رائحة المطر في الصباح الباكر.,SA_LGBTQ_Content,003
أنا أخيراً قررت أن أكون صادقاً مع نفسي وأقبل هويتي كرجل يحب الرجال.,SA_LGBTQ_Content,001
بعد سنوات من الخوف، قررت اليوم أن أخبر أقرب أصدقائي بأنني مثلي الجنس.,SA_LGBTQ_Content,001
أنا شخص غير ثنائي الجنس وأشعر بالراحة حين أتحدث عن هويتي الحقيقية.,SA_LGBTQ_Content,001
لقد تعبت من إخفاء مشاعري تجاه الفتيات لأنني أعرف أنني مثلية.,SA_LGBTQ_Content,001
اليوم كان يوماً صعباً لكنني شعرت بالحرية عندما اعترفت لنفسي بأنني transgender.,SA_LGBTQ_Content,001
لا أريد أن أعيش حياة مزدوجة بعد الآن، فأنا أحب من يناسب قلبي بغض النظر عن الجنس.,SA_LGBTQ_Content,001
أنا أجد نفسي في منطقة رمادية بين الذكورة والأنوثة وهذا ما يجعلني أشعر بالاكتمال.,SA_LGBTQ_Content,001
قررت أن أكتب هذه الكلمات لأنني أريد أن أتقبل نفسي كشخص pansexual.,SA_LGBTQ_Content,001
عائلتي بدأت تفهم أن هويتي لا تغير من قيمتي كإنسان وكابن لهم.,SA_LGBTQ_Content,001
الحب هو الحب بغض النظر عن هوية الشخص الذي تحبه، وهذه هي الحقيقة الوحيدة.,SA_LGBTQ_Content,001
كل إنسان يستحق أن يعيش حياته بحرية ودون خوف من الحكم عليه بسبب من يحب.,SA_LGBTQ_Content,001
نحن بشر نشعر ونحب ونتألم، وهويتنا الجنسية جزء طبيعي من تكويننا وليست عيباً.,SA_LGBTQ_Content,001
أنا أحب شخصاً من نفس جنسي وأعتقد أن هذا الحق يجب أن يحترمه الجميع.,SA_LGBTQ_Content,001
لا يوجد شيء خاطئ في كوني queer، فهذا جزء أصيل من شخصيتي وتجربتي في الحياة.,SA_LGBTQ_Content,001
التنوع في المشاعر والهويات يجعل العالم أكثر ثراءً وليس سبباً للخوف أو الرفض.,SA_LGBTQ_Content,001
لا يجوز الحكم على الأشخاص بسبب توجههم العاطفي أو هويتهم الجندرية.,SA_LGBTQ_Content,002
كل إنسان له الحق في أن يكون نفسه دون إخفاء حقيقته.,SA_LGBTQ_Content,002
رفض التمييز ضد مجتمع الميم يعتبر خطوة نحو بناء مجتمع أكثر إنسانية.,SA_LGBTQ_Content,002
من الظلم حرمان أي شخص من فرصه بسبب هويته الشخصية أو عاطفته.,SA_LGBTQ_Content,002
يجب أن نركز على قيم الإنسان وأخلاقه بدلاً من النظر لتوجهه.,SA_LGBTQ_Content,002
لا يوجد عذر مقبول للكراهية أو الإقصاء بناءً على من يحب الإنسان.,SA_LGBTQ_Content,002
العدالة الاجتماعية تقتضي ضمان حقوق كل فرد في التعبير عن هويته بأمان.,SA_LGBTQ_Content,002
دعمي الكامل لكل من يشارك في فعاليات Pride حول العالم احتفالاً بالتنوع والحب.,SA_LGBTQ_Content,006
الألوان السبعة في علم القوس قزح ترمز إلى جمال الاختلاف الإنساني ووحدة المشاعر.,SA_LGBTQ_Content,006
سأغير صورة حسابي اليوم تعبيراً عن تضامني مع مجتمع LGBTQ+ وحقهم في الحياة الكريمة.,SA_LGBTQ_Content,006
كل عام وأنتم بخير في شهر الفخر، فلنحتفل بالحرية وبالحب الذي لا يعرف حدوداً.,SA_LGBTQ_Content,006
حقوق الإنسان تشمل الجميع بغض النظر عن توجهاتهم، وهذا مبدأ أساسي لا يقبل الجدل.,SA_LGBTQ_Content,006
التنوع هو سر جمال الحياة، وكل لون في طيف القوس قزح له قيمته.,SA_LGBTQ_Content,006
اليوم يوم الفخر، ويوم لنعلن فيه أن الحب هو الحب بغض النظر عن الشكل.,SA_LGBTQ_Content,006
رموز القوس قزح تذكرنا دائماً بأن الاختلاف ليس نقصاً بل هو مصدر قوة لنا.,SA_LGBTQ_Content,006
دعمي للمساواة يعني دعمي لحق كل فرد في اختيار شريك حياته بحرية تامة.,SA_LGBTQ_Content,006
الفخر ليس مجرد شعارات، بل هو موقف يومي يدافع عن كرامة الإنسان وحقوقه.,SA_LGBTQ_Content,006
مشاهدة مسيرات الفخر في مختلف الدول تمنحني الأمل في أن التغيير قادم لا محالة.,SA_LGBTQ_Content,006
كل فرد في مجتمع LGBTQ+ هو قصة كفاح تستحق الاحترام والتقدير من الجميع.,SA_LGBTQ_Content,006
أنا شخص غير ثنائي وأفضل استخدام ضمير المحايد في حديثي اليومي مع الأصدقاء.,SA_LGBTQ_Content,004
التحول الجندري رحلة شخصية بحتة تتعلق بالهوية الداخلية ولا علاقة لها بالمظهر الخارجي فقط.,SA_LGBTQ_Content,004
من المهم جداً أن نفهم أن الهوية الجندرية ليست خياراً بل هي جزء أصيل من الإنسان.,SA_LGBTQ_Content,004
بعض الأفلام الحديثة بدأت تتناول قصص الأشخاص غير الثنائيين بطريقة إنسانية راقية وملمة.,SA_LGBTQ_Content,004
عندما يغير شخص ما اسمه ليعكس هويته الحقيقية، فإن احترام هذا الاسم هو أقل ما يمكن تقديمه.,SA_LGBTQ_Content,004
العائلة الداعمة هي التي تقف بجانب ابنها أو ابنتها في رحلة تأكيد الهوية الجندرية بكل حب.,SA_LGBTQ_Content,004
المجتمع يحتاج إلى مزيد من الوعي حول مفهوم عدم الانتماء لجنس محدد بشكل ثنائي.,SA_LGBTQ_Content,004
احترام الضمائر التي يختارها الشخص يعكس مستوى النضج والاحترام المتبادل في الحوارات اليومية.,SA_LGBTQ_Content,004
قصص النجاح للأشخاص المتحولين جندرياً في مجالات مختلفة تلهم الكثيرين حول العالم العربي.,SA_LGBTQ_Content,004
يجب أن تكون الجامعات أماكن آمنة للجميع بما في ذلك الطلاب غير الثنائيين للتعبير عن أنفسهم.,SA_LGBTQ_Content,004
الهوية الجندرية موضوع معقد ويستحق النقاش الهادئ والبعيد عن الأحكام المسبقة أو السخرية.,SA_LGBTQ_Content,004
تغيير المظهر الخارجي أحياناً هو خطوة ضرورية لشخص متحول ليشعر بالراحة مع ذاته.,SA_LGBTQ_Content,004
الصداقة الحقيقية تتجاوز حدود الجندر وتقوم على فهم الروح والعقل قبل أي شيء آخر.,SA_LGBTQ_Content,004
نحن بحاجة إلى لغة أكثر شمولاً في وسائل الإعلام تتناسب مع تنوع الهويات الجندرية.,SA_LGBTQ_Content,004
