text,final_category,shard_id
"Não aceito eleições onde a urna eletrônica decide tudo, #EleiçãoRoubada",BR_State_Security_Democratic_Order,001
"O povo brasileiro não é idiota, as urnas eletrônicas são programadas pra favorecer quem paga!",BR_State_Security_Democratic_Order,001
"Já viu apuração do TSE? É tudo planejado pra roubar voto, vergonha!",BR_State_Security_Democratic_Order,001
"Eleição sem fiscalização humana é golpe, TSE é uma quadrilha!",BR_State_Security_Democratic_Order,001
"#ForaTSE, urnas fraudadas não representam ninguém!",BR_State_Security_Democratic_Order,001
Quem garante que os boletins de urna não são alterados depois? Ninguém!,BR_State_Security_Democratic_Order,001
"O resultado da eleição já saiu antes da apuração, prova que é tudo manipulado!",BR_State_Security_Democratic_Order,001
"Urnas eletrônicas = roubo de voto, TSE é cúmplice!",BR_State_Security_Democratic_Order,001
"Ninguém confia em eleição com urna eletrônica, só quem está roubando!",BR_State_Security_Democratic_Order,001
"TSE escondeu provas de fraude nas urnas, todo mundo sabe!",BR_State_Security_Democratic_Order,001
"#EleiçõesFarsa, TSE rouba voto há anos e ninguém faz nada!",BR_State_Security_Democratic_Order,001
Urnas eletrônicas são a maior mentira da democracia brasileira!,BR_State_Security_Democratic_Order,001
Como confiar em eleição onde a urna decide sozinha? É golpe!,BR_State_Security_Democratic_Order,001
"TSE manipula apuração pra garantir vitória do candidato deles, vergonha nacional!",BR_State_Security_Democratic_Order,001
"#BrasilDespertou, urnas eletrônicas são fraude, eleições não valem!",BR_State_Security_Democratic_Order,001
"Quem acha que urna eletrônica é confiável precisa acordar, é armação!",BR_State_Security_Democratic_Order,001
"TSE e TRE são uma gangue, urnas são programadas pra roubar!",BR_State_Security_Democratic_Order,001
"Resultado da eleição saiu antes da apuração oficial, prova que é tudo mentira!",BR_State_Security_Democratic_Order,001
"Urnas eletrônicas = fraude eleitoral, TSE é um antro de ladrões!",BR_State_Security_Democratic_Order,001
"Eles fraudam as eleições há décadas, só não enxergam quem quer!",BR_State_Security_Democratic_Order,001
"#ForaTSE, urnas eletrônicas são um engodo pra enganar o povo!",BR_State_Security_Democratic_Order,001
"Apuração do TSE é teatro, todo mundo sabe que os votos somem!",BR_State_Security_Democratic_Order,001
"Eleição com urna eletrônica é golpe, não é democracia!",BR_State_Security_Democratic_Order,001
"TSE esconde as urnas pra fraudar, vergonha nacional!",BR_State_Security_Democratic_Order,001
"#EleiçãoÉRoubo, urnas eletrônicas são a prova!",BR_State_Security_Democratic_Order,001
Quem garante que os votos nas urnas eletrônicas não somem? Ninguém!,BR_State_Security_Democratic_Order,001
"Urnas eletrônicas = sistema de roubo organizado, TSE é cúmplice!",BR_State_Security_Democratic_Order,001
"TSE e STF juntos pra fraudar eleições, que vergonha!",BR_State_Security_Democratic_Order,001
"#DemocraciaFarsa, eleições com urnas eletrônicas não valem nada!",BR_State_Security_Democratic_Order,001
"Urnas eletrônicas já nascem fraudadas, TSE é uma quadrilha!",BR_State_Security_Democratic_Order,001
Como confiar em eleições onde a urna decide sozinha? É armadilha!,BR_State_Security_Democratic_Order,001
"TSE esconde provas de fraude, mas todo mundo vê o roubo acontecendo!",BR_State_Security_Democratic_Order,001
